12f7 -- 9. Kaikki tietoryhmät;;;;;;;
;;;;;;;
Postinumeroalue;Postinumeroalueen pinta-ala;Asukkaat yhteensä, 2018 (HE);Asukkaiden keskitulot, 2017 (HR);Asukkaiden mediaanitulot, 2017 (HR);Asumisväljyys, 2018 (TE);Taloudet yhteensä, 2017 (TR);Työttömät, 2017 (PT)
01860  Perttula (Nurmijärvi);58522619;2073;27951;25999;47.3;782;66
01900  Nurmijärvi Keskus (Nurmijärvi);77693516;8953;28968;24387;41.6;4104;294
01940  Palojoki (Nurmijärvi);19797663;781;28549;25993;45.6;291;14
02100  Tapiola (Espoo);1907447;5193;36049;27900;38.4;2952;185
02110  Otsolahti (Espoo);878222;2779;33924;27915;35.6;1504;90
02120  Länsikorkee-Suvikumpu (Espoo);712858;2768;32933;26864;36.8;1581;89
02130  Pohjois-Tapiola (Espoo);2646566;6354;38558;30931;38.5;2717;171
02140  Laajalahti (Espoo);2429132;3711;35340;30296;36.8;1390;132
02150  Otaniemi (Espoo);2003315;3749;13305;11292;24.2;1866;32
02160  Westend (Espoo);2067000;3124;73612;37207;51.7;1259;59
02170  Haukilahti (Espoo);1942277;5671;46012;30677;42.5;2647;196
02180  Mankkaa (Espoo);3423521;6899;43434;34005;37.6;2473;178
02200  Niittykumpu (Espoo);4513457;8750;33539;28213;37.3;4118;283
02210  Olari (Espoo);3621356;11500;29194;25598;37.1;5555;494
02230  Matinkylä (Espoo);5967507;21773;30636;24001;35.0;10897;1135
02240  Friisilä (Espoo);1401091;2316;43476;33854;45.7;882;65
02250  Henttaa (Espoo);2152411;4623;28272;24556;32.1;1913;248
02260  Kaitaa (Espoo);2361154;3732;34574;27312;37.1;1593;157
02270  Finnoo-Eestinmalmi (Espoo);3437199;2206;38396;30366;39.2;820;73
02280  Malminmäki-Eestinlaakso (Espoo);3365630;4440;30253;26808;34.1;1797;206
02290  Puolarmetsän sairaala (Espoo);166266;3;...;...;0.0;0;...
02300  Nöykkiönpuro (Espoo);1730780;2575;42845;32640;44.1;874;77
02320  Espoonlahti (Espoo);3071666;16489;27139;23799;36.5;8163;853
02330  Saunalahti-Kattilalaakso (Espoo);5896237;10069;36002;28508;38.7;3911;371
